id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,freeze_backbone,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,acc,f1_per_class,precision_per_class,recall_per_class,positive_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_acc,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_acc,mouth not visible,feeding,charging,being charged,cturn
dinov3_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,iuea0srn,coralcam,test_frames,1000,3hna80rk,0.999999995,0.19591852137041327,1.0,0.13455282151699066,1.0,0.36019167304039,0.9624658226966858,"[0.5855070486575243, 0.389420963003556, 0.0, 0.0, 0.0]","[0.4175766408443451, 0.2551874816417694, 0.0, 0.0, 0.0]","[0.9793621301651001, 0.8215962648391724, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.4897963194684921,1.0,0.33638206124305725,1.0,0.9004791975021362,0.9083050489425659,0.0,0.0,0.0,0.0,0.0,0.0,0.9978594779968262,"[[52799, 1265], [12851, 6197]]","[[70139, 226], [2334, 413]]","[[73112, 0], [0, 0]]","[[72825, 42], [245, 0]]","[[73086, 8], [18, 0]]"
dinov3_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,64q4nfny,coralcam,test_frames,1000,dhnnuvwd,0.999999995,0.20079732982240653,1.0,0.13400650024414062,1.0,0.4003255367279053,0.9529269933700562,"[0.5344127687017164, 0.446532395740522, 0.0, 0.006578947221052678, 0.0]","[0.3672572076320648, 0.29940828680992126, 0.0, 0.003367003286257386, 0.0]","[0.9808362126350403, 0.8779342770576477, 0.0, 0.1428571492433548, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.49067889486660965,1.0,0.33333274722099304,1.0,0.929385244846344,0.8849778175354004,0.999999995,0.0032894731606043386,1.0,0.001683501643128693,1.0,0.0714285746216774,0.9973397254943848,"[[48749, 938], [16901, 6524]]","[[70407, 170], [2066, 469]]","[[73112, 0], [0, 0]]","[[72773, 42], [297, 0]]","[[73055, 8], [49, 0]]"
dinov3_large_mean_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',False,fish-benchmark,ygxhfmcc,coralcam,test_frames,1000,ol9ptdc7,0.999999995,0.14863634253084626,1.0,0.09808189421892166,1.0,0.30673930048942566,0.9338083863258362,"[0.4438487848840693, 0.26808199214251904, 0.0, 0.0009178522420062886, 0.0]","[0.323138028383255, 0.1668110191822052, 0.0, 0.0004604051646310836, 0.0]","[0.7085232138633728, 0.6823161244392395, 0.0, 0.1428571492433548, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.3623163599859724,1.0,0.2449745237827301,1.0,0.6954196691513062,0.851508617401123,0.999999995,0.00045892605695990014,1.0,0.0002302025823155418,1.0,0.0714285746216774,0.9830123782157898,"[[54735, 4024], [10915, 3438]]","[[61258, 308], [11215, 331]]","[[73112, 0], [0, 0]]","[[70898, 42], [2172, 0]]","[[72835, 8], [269, 0]]"
dinov3_large_mean_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,4e80i5tj,coralcam,test_frames,1000,lbhv0cfa,0.999999995,0.14289719512462593,1.0,0.08649687469005585,1.0,0.41068363189697266,0.8784632086753845,"[0.45872004188145554, 0.23018675227428523, 0.0, 0.001427551757172316, 0.0]","[0.30068644881248474, 0.13108056783676147, 0.0, 0.0007173601188696921, 0.0]","[0.9668989777565002, 0.9436619877815247, 0.0, 0.1428571492433548, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.35217834882499244,1.0,0.2158835083246231,1.0,0.9552804827690125,0.7072710394859314,0.999999995,0.0007137757791568397,1.0,0.00035868005943484604,1.0,0.0714285746216774,0.9888868927955627,"[[43446, 1404], [22204, 6058]]","[[46815, 107], [25658, 532]]","[[73112, 0], [0, 0]]","[[71676, 42], [1394, 0]]","[[72916, 8], [188, 0]]"
vjepa2_attention_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',True,fish-benchmark,lirub1ix,coralcam,test_sliding_window,1000,cnhnty35,0.999999995,0.18351624759763926,1.0,0.11095080524682999,1.0,0.5304437875747681,0.9130648970603943,"[0.46105311138612104, 0.22559233937749398, 0.0, 0.03717472248287085, 0.16438356260014958]","[0.30177390575408936, 0.12810908257961273, 0.0, 0.019607843831181526, 0.10526315867900848]","[0.9764138460159302, 0.9436619877815247, 0.0, 0.3571428656578064, 0.375]","[7462, 639, 0, 42, 8]",0.999999995,0.35124358372860537,1.0,0.21494150161743164,1.0,0.9600379467010498,0.783339262008667,0.999999995,0.10667669884065033,1.0,0.06243550032377243,1.0,0.3660714328289032,0.9993229508399963,"[[47080, 2299], [18570, 5163]]","[[55707, 318], [16766, 321]]","[[73112, 0], [0, 0]]","[[73020, 41], [50, 1]]","[[73085, 8], [19, 0]]"
vjepa2_attention_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,ihrk16xa,coralcam,test_sliding_window,1000,nnjabhb4,0.999999995,0.10313128683116128,1.0,0.06359000504016876,1.0,0.2727013826370239,0.7489640712738037,"[0.2590606971812864, 0.030541663173337848, 0.0, 0.0028957820147821095, 0.0]","[0.20712502300739288, 0.109375, 0.0, 0.0014499904355034232, 0.0]","[0.34575796127319336, 0.017748918384313583, 0.0, 1.0, 0.0]","[25648, 2310, 0, 77, 0]",0.999999995,0.16918935615727568,1.0,0.15825000405311584,1.0,0.18175344169139862,0.9332414269447327,0.999999995,0.0014478909784751627,1.0,0.0007249952177517116,1.0,0.5,0.4391687214374542,"[[219469, 23086], [17059, 2562]]","[[259425, 2303], [441, 7]]","[[262176, 0], [0, 0]]","[[162865, 0], [99234, 77]]","[[67270, 0], [194906, 0]]"
vjepa2_mean_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',False,fish-benchmark,lbp90388,coralcam,test_sliding_window,1000,u0r08iio,0.999999995,0.25048396948296947,1.0,0.15748414397239685,1.0,0.6117340922355652,0.928947389125824,"[0.5719783657758482, 0.29805227610603613, 0.0, 0.18633540591580655, 0.12684989952846432]","[0.42959457635879517, 0.18009504675865173, 0.0, 0.1071428582072258, 0.07058823853731155]","[0.8555347323417664, 0.8638497591018677, 0.0, 0.7142857313156128, 0.625]","[7462, 639, 0, 42, 8]",0.999999995,0.4500890803284465,1.0,0.30484479665756226,1.0,0.8596922159194946,0.824379026889801,0.999999995,0.15690842338726324,1.0,0.08886554837226868,1.0,0.6696428656578064,0.9979893565177917,"[[54684, 2371], [10966, 5091]]","[[54183, 200], [18290, 439]]","[[73112, 0], [0, 0]]","[[72862, 26], [208, 16]]","[[73020, 7], [84, 1]]"
vjepa2_mean_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,n9b89dj2,coralcam,test_sliding_window,1000,tpgcsxkm,0.999999995,0.21772124066513807,1.0,0.13742610812187195,1.0,0.5237191319465637,0.8868038058280945,"[0.5125384323340834, 0.26198129459744907, 0.0, 0.29411764084570946, 0.0]","[0.3499220013618469, 0.15202340483665466, 0.0, 0.18518517911434174, 0.0]","[0.9575181007385254, 0.9467918872833252, 0.0, 0.7142857313156128, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.3972394617389346,1.0,0.2509726881980896,1.0,0.9521549940109253,0.7184046506881714,0.999999995,0.1470588171529587,1.0,0.09259258955717087,1.0,0.3571428656578064,0.9986048936843872,"[[44674, 869], [20976, 6593]]","[[46004, 99], [26469, 540]]","[[73112, 0], [0, 0]]","[[72949, 28], [121, 14]]","[[73030, 8], [74, 0]]"
resnet50_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,y2mhwwa2,coralcam,test_frames,1000,0hah3haa,0.999999995,0.17156768491844787,1.0,0.12177877128124237,1.0,0.29022565484046936,0.9650918841362,"[0.5464343391808512, 0.3093936490406985, 0.0, 0.0, 0.0]","[0.37929099798202515, 0.2296028882265091, 0.0, 0.0, 0.0]","[0.9769498705863953, 0.47417840361595154, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.4289192233329019,1.0,0.3044469356536865,1.0,0.7255641222000122,0.9135504364967346,0.0,0.0,0.0,0.0,0.0,0.0,0.9991793632507324,"[[53077, 2207], [12573, 5255]]","[[71229, 498], [1244, 141]]","[[73112, 0], [0, 0]]","[[73008, 42], [62, 0]]","[[73096, 8], [8, 0]]"
resnet50_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,994lum4t,coralcam,test_frames,1000,wd30fvef,0.999999995,0.1734173551205009,1.0,0.12249703705310822,1.0,0.2967880368232727,0.9561986923217773,"[0.5036608812884665, 0.3539112192063532, 0.0, 0.0, 0.0]","[0.33836236596107483, 0.27412280440330505, 0.0, 0.0, 0.0]","[0.9847226142883301, 0.49921754002571106, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.43354338145159055,1.0,0.30624258518218994,1.0,0.7419700622558594,0.8912695646286011,0.0,0.0,0.0,0.0,0.0,0.0,0.9992272257804871,"[[49463, 1776], [16187, 5686]]","[[71263, 481], [1210, 158]]","[[73112, 0], [0, 0]]","[[73010, 42], [60, 0]]","[[73101, 8], [3, 0]]"
