id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,freeze_backbone,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,acc,mAP,f1_per_class,precision_per_class,recall_per_class,positive_per_class,mAP_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_acc,biting_mAP,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_acc,aggression_mAP,mouth not visible,feeding,charging,being charged,cturn
dinov3_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,iuea0srn,coralcam,test_frames,1000,3hna80rk,0.999999995,0.18602557480335236,1.0,0.12676438689231873,1.0,0.3560796082019806,0.961046040058136,0.18918900191783905,"[0.5630993360185668, 0.367028577596102, 0.0, 0.0, 0.0]","[0.3964720666408539, 0.23734983801841736, 0.0, 0.0, 0.0]","[0.9713213443756104, 0.8090766668319702, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.5044974088668823, 0.4403989017009735, -0.0, 0.0008194337133318186, 0.00022921350318938494]",0.999999995,0.4650639295578003,1.0,0.3169109523296356,1.0,0.8901990056037903,0.904755711555481,0.4724481701850891,0.0,0.0,0.0,0.0,0.0,0.0,0.9978594779968262,0.0005243236082606018,"[[52799, 1265], [12851, 6197]]","[[70139, 226], [2334, 413]]","[[73112, 0], [0, 0]]","[[72825, 42], [245, 0]]","[[73086, 8], [18, 0]]"
dinov3_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,64q4nfny,coralcam,test_frames,1000,dhnnuvwd,0.999999995,0.18854205310344696,1.0,0.12628322839736938,1.0,0.3871902823448181,0.9512747526168823,0.19292113184928894,"[0.5105731878674384, 0.42563298178939774, 0.0, 0.0065040648941356175, 0.0]","[0.3459978699684143, 0.28205129504203796, 0.0, 0.003367003286257386, 0.0]","[0.9737336039543152, 0.8669796586036682, 0.0, 0.095238097012043, 0.0]","[7462, 639, 0, 42, 8]","[0.4824105501174927, 0.4808580279350281, -0.0, 0.0012367673916742206, 0.00010032069985754788]",0.999999995,0.4681031107902527,1.0,0.31402456760406494,1.0,0.9203566312789917,0.8808608651161194,0.4816342890262604,0.999999995,0.00325203244574368,1.0,0.001683501643128693,1.0,0.0476190485060215,0.9973260164260864,0.000668544031213969,"[[48749, 938], [16901, 6524]]","[[70407, 170], [2066, 469]]","[[73112, 0], [0, 0]]","[[72773, 42], [297, 0]]","[[73055, 8], [49, 0]]"
dinov3_large_mean_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',False,fish-benchmark,ygxhfmcc,coralcam,test_frames,1000,ol9ptdc7,0.999999995,0.12803921103477478,1.0,0.08737610280513763,1.0,0.28538253903388977,0.9311631321907043,0.06510646641254425,"[0.418063894855268, 0.2212158087468602, 0.0, 0.0009163803139370028, 0.0]","[0.3035602271556854, 0.13285987079143524, 0.0, 0.0004604051646310836, 0.0]","[0.6712677478790283, 0.6604068875312805, 0.0, 0.095238097012043, 0.0]","[7462, 639, 0, 42, 8]","[0.25348135828971863, 0.07042446732521057, -0.0, 0.0013617376098409295, 0.0002647751825861633]",0.999999995,0.3196398615837097,1.0,0.21821004152297974,1.0,0.665837287902832,0.8449091911315918,0.1619529128074646,0.999999995,0.000458190159406513,1.0,0.0002302025823155418,1.0,0.0476190485060215,0.9829986691474915,0.0008132563671097159,"[[54735, 4024], [10915, 3438]]","[[61258, 308], [11215, 331]]","[[73112, 0], [0, 0]]","[[70898, 42], [2172, 0]]","[[72835, 8], [269, 0]]"
dinov3_large_mean_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,4e80i5tj,coralcam,test_frames,1000,lbhv0cfa,0.999999995,0.12407509982585907,1.0,0.07682541012763977,1.0,0.3964676260948181,0.8745732307434082,0.09067394584417343,"[0.43300883467264106, 0.18594268058148294, 0.0, 0.0014239943122833123, 0.0]","[0.2801641821861267, 0.10324551165103912, 0.0, 0.0007173601188696921, 0.0]","[0.9528276324272156, 0.934272289276123, 0.0, 0.095238097012043, 0.0]","[7462, 639, 0, 42, 8]","[0.320220947265625, 0.13150285184383392, -0.0, 0.0014483412960544229, 0.0001976199564523995]",0.999999995,0.30947574973106384,1.0,0.19170483946800232,1.0,0.9435499906539917,0.6975598931312561,0.22586190700531006,0.999999995,0.0007119971560314298,1.0,0.00035868005943484604,1.0,0.0476190485060215,0.9888732433319092,0.0008229806553572416,"[[43446, 1404], [22204, 6058]]","[[46815, 107], [25658, 532]]","[[73112, 0], [0, 0]]","[[71676, 42], [1394, 0]]","[[72916, 8], [188, 0]]"
vjepa2_attention_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',True,fish-benchmark,lirub1ix,coralcam,test_sliding_window,1000,cnhnty35,0.999999995,0.144980788230896,1.0,0.09047558903694153,1.0,0.4538506865501404,0.9100639820098877,0.060267068445682526,"[0.43493380670741405, 0.17941184792270923, 0.0, 0.03648424677841985, 0.07407407446244453]","[0.2807061970233917, 0.0994323194026947, 0.0, 0.019607843831181526, 0.05263157933950424]","[0.9652907848358154, 0.9170579314231873, 0.0, 0.261904776096344, 0.125]","[7462, 639, 0, 42, 8]","[0.2721785604953766, 0.021780436858534813, -0.0, 0.007066818419843912, 0.00030952159431762993]",0.999999995,0.30717283487319946,1.0,0.1900692582130432,1.0,0.9411743879318237,0.7758849263191223,0.14697949588298798,0.999999995,0.05527915805578232,1.0,0.03611971065402031,1.0,0.193452388048172,0.9992750883102417,0.0036881701089441776,"[[47080, 2299], [18570, 5163]]","[[55707, 318], [16766, 321]]","[[73112, 0], [0, 0]]","[[73020, 41], [50, 1]]","[[73085, 8], [19, 0]]"
vjepa2_attention_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,ihrk16xa,coralcam,test_sliding_window,1000,nnjabhb4,0.999999995,0.05180435627698898,1.0,0.0465954951941967,1.0,0.2642788589000702,0.7478067874908447,0.024998150765895844,"[0.23169503714062276, 0.024953212875662788, 0.0, 0.0023735529350249656, 0.0]","[0.18714642524719238, 0.0446428582072258, 0.0, 0.0011881865793839097, 0.0]","[0.30407828092575073, 0.017316017299890518, 0.0, 1.0, 0.0]","[25648, 2310, 0, 77, 0]","[0.11254371702671051, 0.011448550038039684, -0.0, 0.000998488161712885, -0.0]",0.999999995,0.12832412123680115,1.0,0.11589464545249939,1.0,0.16069714725017548,0.9303979277610779,0.061996132135391235,0.999999995,0.00118677644059062,1.0,0.0005940932896919549,1.0,0.5,0.4391191303730011,0.0004992440808564425,"[[219469, 23086], [17059, 2562]]","[[259425, 2303], [441, 7]]","[[262176, 0], [0, 0]]","[[162865, 0], [99234, 77]]","[[67270, 0], [194906, 0]]"
vjepa2_mean_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',False,fish-benchmark,lbp90388,coralcam,test_sliding_window,1000,u0r08iio,0.999999995,0.21669156849384308,1.0,0.14297233521938324,1.0,0.5861085653305054,0.9254075884819031,0.14169403910636902,"[0.5461513627207077, 0.24092482642112842, 0.0, 0.16953171078030455, 0.12684989952846432]","[0.4057420492172241, 0.1403171569108963, 0.0, 0.0982142835855484, 0.07058823853731155]","[0.8351648449897766, 0.8513302206993103, 0.0, 0.6190476417541504, 0.625]","[7462, 639, 0, 42, 8]","[0.40590423345565796, 0.041897546499967575, -0.0, 0.25625118613243103, 0.0044172159396111965]",0.999999995,0.39353808760643005,1.0,0.2730295956134796,1.0,0.8432475328445435,0.8155706524848938,0.22390088438987732,0.999999995,0.14819081127643585,1.0,0.08440126478672028,1.0,0.6220238208770752,0.9979483485221863,0.13033419847488403,"[[54684, 2371], [10966, 5091]]","[[54183, 200], [18290, 439]]","[[73112, 0], [0, 0]]","[[72862, 26], [208, 16]]","[[73020, 7], [84, 1]]"
vjepa2_mean_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,n9b89dj2,coralcam,test_sliding_window,1000,tpgcsxkm,0.999999995,0.190669447183609,1.0,0.12140002101659775,1.0,0.5012035965919495,0.8822600841522217,0.15161000192165375,"[0.48405686636186634, 0.21128397455648337, 0.0, 0.2580063108634911, 0.0]","[0.3250027298927307, 0.11903439462184906, 0.0, 0.16296295821666718, 0.0]","[0.9480032324790955, 0.9389671087265015, 0.0, 0.6190476417541504, 0.0]","[7462, 639, 0, 42, 8]","[0.4541950821876526, 0.040626853704452515, -0.0, 0.26204922795295715, 0.0011788548436015844]",0.999999995,0.34767043590545654,1.0,0.22201856970787048,1.0,0.9434851408004761,0.7070932388305664,0.24741096794605255,0.999999995,0.1290031522512436,1.0,0.08148147910833359,1.0,0.3095238208770752,0.9985570311546326,0.13161404430866241,"[[44674, 869], [20976, 6593]]","[[46004, 99], [26469, 540]]","[[73112, 0], [0, 0]]","[[72949, 28], [121, 14]]","[[73030, 8], [74, 0]]"
resnet50_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,y2mhwwa2,coralcam,test_frames,1000,0hah3haa,0.999999995,0.16141954064369202,1.0,0.11332117021083832,1.0,0.2824035584926605,0.9637378454208374,0.09682144969701767,"[0.5241777478734235, 0.28291991237121106, 0.0, 0.0, 0.0]","[0.3601076900959015, 0.2064981907606125, 0.0, 0.0, 0.0]","[0.9628785848617554, 0.449139267206192, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.3930760324001312, 0.09000629931688309, -0.0, 0.0008393743191845715, 0.00018555880524218082]",0.999999995,0.40354883670806885,1.0,0.2833029329776764,1.0,0.7060089111328125,0.9101652503013611,0.24154116213321686,0.0,0.0,0.0,0.0,0.0,0.0,0.9991793632507324,0.0005124665331095457,"[[53077, 2207], [12573, 5255]]","[[71229, 498], [1244, 141]]","[[73112, 0], [0, 0]]","[[73008, 42], [62, 0]]","[[73096, 8], [8, 0]]"
resnet50_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,994lum4t,coralcam,test_frames,1000,wd30fvef,0.999999995,0.15865285694599152,1.0,0.1108260527253151,1.0,0.28789207339286804,0.9546968936920166,0.0952310860157013,"[0.4820535831230471, 0.3112106587143221, 0.0, 0.0, 0.0]","[0.32021212577819824, 0.23391813039779663, 0.0, 0.0, 0.0]","[0.9746716618537903, 0.4647887349128723, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.37596356868743896, 0.09939266741275787, -0.0, 0.0006423889426514506, 0.00015680209617130458]",0.999999995,0.3966321349143982,1.0,0.27706512808799744,1.0,0.7197301983833313,0.8875150680541992,0.23767811059951782,0.0,0.0,0.0,0.0,0.0,0.0,0.9992272257804871,0.00039959553396329284,"[[49463, 1776], [16187, 5686]]","[[71263, 481], [1210, 158]]","[[73112, 0], [0, 0]]","[[73010, 42], [60, 0]]","[[73101, 8], [3, 0]]"
